SGG_NM,BJDONG_NM,HOUSE_TYPE,PRICE_PER,CENTER_LONG,CENTER_LATI
마포구,서교동,연립다세대,2873.7376463903984,126.91879840951502,37.553839380609624
마포구,성산동,연립다세대,3111.374801686418,126.90469377493744,37.56565855521696
마포구,신공덕동,연립다세대,3457.946963964085,126.95594297545462,37.54413092481795
마포구,신수동,연립다세대,4620.807620856808,126.93682967808036,37.54857717559063
마포구,아현동,연립다세대,4835.805934960874,126.95631975429208,37.554468382783945
마포구,연남동,연립다세대,3373.5224200732723,126.92152855304708,37.5630232338545
마포구,염리동,연립다세대,8481.610826337735,126.94732838463976,37.54913172008571
마포구,용강동,연립다세대,3933.9148242325227,126.94045248143571,37.5414984909524
마포구,중동,연립다세대,3130.920713141812,126.90616779602506,37.571630834829875
마포구,창전동,연립다세대,2271.2458980028105,126.9300885513184,37.550265062353155
마포구,합정동,연립다세대,3766.166147357706,126.9090449981631,37.54702306046542
마포구,현석동,연립다세대,4323.915620030252,126.9343747096854,37.54222205707352
서대문구,남가좌동,연립다세대,1747.7462642577118,126.91944122847062,37.57562164983495
서대문구,대신동,연립다세대,3447.494925216785,126.94430948103827,37.56422006958602
서대문구,대현동,연립다세대,3369.941218702189,126.94631349624264,37.560412626930166
서대문구,북가좌동,연립다세대,2344.3960990096866,126.91118899754072,37.57880151045278
서대문구,북아현동,연립다세대,4642.822320843806,126.95438644117792,37.5624196966443
서대문구,신촌동,연립다세대,2399.763018093242,126.94139603706329,37.56554452948296
서대문구,연희동,연립다세대,2197.130762346009,126.93282762424415,37.57198173019036
서대문구,영천동,연립다세대,3655.31802864364,126.9577081515544,37.570299217695194
서대문구,옥천동,연립다세대,2212.203107714603,126.95912788407594,37.56935098044264
서대문구,창천동,연립다세대,3386.6003166888477,126.9342113696831,37.55869869335811
서대문구,천연동,연립다세대,3039.514543277487,126.9594360612699,37.56790609966186
서대문구,충정로2가,연립다세대,2260.940080000947,126.96417623409316,37.564853948305114
서대문구,충정로3가,연립다세대,4987.498423024526,126.96196372689748,37.562117013495346
